Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.008831809758818754,9.976759503054469,-0.1291902773414719
10.96478196143187,0.0007253663956650903,9.964615187897383,-0.02773139950585346
12.02264434617416,-0.01222842686237088,9.977865247863855,-0.06322848816179771
13.1825673855641,-0.01368279218282349,9.976950988017736,0.1307866337815717
14.45439770745928,-0.002085596403729051,9.967242785627102,-0.01022739059789046
15.84893192461118,-0.01308412721475698,9.977460056669276,0.1244566756084282
17.3780082874938,-0.001547570184083007,9.968721636026675,-0.02535224726190677
19.05460717963248,-0.001340873127018786,9.969040260447388,-0.02228855759575765
20.89296130854045,0.01669978185911477,9.950916124985939,-0.05364058845840702
22.90867652767779,-0.001484519176298736,9.965774502725619,-0.01931539887215195
25.11886431509582,-0.001582126252390965,9.965691043604881,0.01955842638278682
27.54228703338174,-0.00408944199996746,9.969028590071916,-0.06375085252507517
30.19951720402019,0.002918264777107937,9.964739143324282,-0.1884711368126588
33.11311214825915,-0.001831659014268179,9.972614157428696,-0.05201820526893375
36.30780547701025,-0.001284674160598429,9.967937654713836,-0.03420703186475293
39.81071705534978,-0.001330824783811246,9.968130578117584,-0.0241462573502389
43.65158322401665,-0.001398186888796302,9.968973408613278,-0.008284279763131508
47.8630092322639,-0.00148101024272584,9.96779806347902,-0.08073101518832004
52.48074602497734,-0.001184219811385965,9.967107775064079,-0.04908095064311624
57.54399373371579,-0.001518126221440416,9.968899691848721,-0.04868750112623843
63.09573444801944,-0.001408736483568721,9.965907597152585,-0.05581860479853518
69.18309709189377,-0.001162969355862635,9.96590856609145,-0.05373780891365953
75.85775750291852,0.0004399357032463343,9.968150468700921,-0.07116641437084859
83.17637711026727,-0.001146614024670707,9.965913071319534,-0.07472265420175006
91.20108393559116,-0.0009817913344851133,9.967491617297982,-0.06685416199556471
100.0000000000002,-0.001423041364104453,9.973247123817204,-0.007021432725593968
109.6478196143187,-0.001376671453582936,9.967234337769137,-0.1008399947935175
120.2264434617413,-0.001560841949545685,9.967232011283086,-0.09922443362366096
131.825673855641,0.006248965486816134,9.959124529410206,-0.08382032147247287
144.5439770745931,-0.0009680399291446139,9.969319125315867,-0.1088706440409837
158.4893192461114,-0.0009898065283127423,9.96478350166786,-0.1364802409923698
173.780082874938,-0.00125201679514057,9.970203516729514,-0.1376196503731251
190.5460717963252,-0.0009239665300187498,9.969163397195004,-0.0001343833443741005
208.9296130854041,-0.001301390119134957,9.967695155896347,-0.1743910271102216
229.0867652767779,-0.001084905917805906,9.96942344407187,-0.1733993850882882
251.1886431509587,0.0004373383762962724,9.968719249318312,-0.2039602164389276
275.4228703338169,-0.001140593967002885,9.967473014345069,-0.2267617189719857
301.9951720402025,-0.001369518967155919,9.967289688184687,-0.2622956127890461
331.1311214825921,-0.001106572439437091,9.969878530347916,-0.2645504307435544
363.0780547701017,-0.0002862833970622023,9.964793469534563,-0.2850476380901057
398.1071705534978,-0.002768118163880488,9.973038660431243,-0.3327318308280525
436.5158322401666,-0.0008787152018130012,9.965668022654219,-0.3621679044549495
478.630092322639,-0.00139686051516048,9.964433419805454,-0.3949710710164851
524.8074602497734,-0.0009846768966952691,9.970717697856774,-0.4827959307510739
575.4399373371577,-0.001203276234061018,9.970902309672191,-0.4892020891293161
630.9573444801943,-0.001187585964289266,9.972343612299955,-0.5124385593112279
691.8309709189376,-0.0005487711994261233,9.965916967304238,-0.557416253616168
758.577575029185,-0.0009258676546850957,9.972055392485746,-0.6340990490498086
831.7637711026725,-0.001046026691228446,9.970629449198388,-0.6868758689177454
912.0108393559116,-0.0002339174856222607,9.966994775391647,-0.759120231483962
1000,-0.001194953046237791,9.964879244871197,-0.8517746697543629
1096.478196143187,-0.0007762974551762294,9.970503756233267,-0.8971092388077579
1202.264434617414,-0.0004599691203492073,9.97061417873862,-0.9647380200983662
1318.256738556407,0.0001733795112940369,9.975458917420415,-1.097407467885617
1445.439770745929,0.0002390173542129211,9.975385874522036,-1.190246273366796
1584.893192461116,0.0001186305733144388,9.968086039557614,-1.304149523498154
1737.800828749376,4.352975460129089e-05,9.972286597375358,-1.444584230279943
1905.46071796325,0.001642162078039635,9.970118516950597,-1.554168166009049
2089.296130854043,0.002634564827053952,9.96892785405544,-1.716828538625037
2290.867652767775,0.00233246855976619,9.970846888772172,-1.870188423413339
2511.886431509585,0.003137212212417186,9.97154416793275,-2.062018001286248
2754.228703338172,0.004241036740505549,9.976043102792394,-2.257668692587536
3019.951720402019,0.00570072748244236,9.972398620154244,-2.470285375348183
3311.311214825911,0.006795459560294944,9.966765897128402,-2.712789632671232
3630.780547701021,0.00815535210073628,9.964954696093635,-2.970724956506359
3981.071705534977,0.006927939812227777,9.967214433996229,-3.280584976587105
4365.158322401661,0.01127750760851642,9.961476972439943,-3.606619021788688
4786.30092322639,0.01288983569680719,9.966332040054569,-3.967449580246466
5248.074602497733,0.01367674378609601,9.95770513107205,-4.356767845456716
5754.399373371572,0.0137396187240455,9.965870662448019,-4.836621641697803
6309.573444801943,0.01865867155478531,9.955754900753776,-5.337247646788899
6918.309709189376,0.02018383158226066,9.951501270995616,-5.974871582627344
7585.775750291844,0.02223716895279702,9.949099438090997,-6.655281715404357
8317.637711026726,0.02448346520126776,9.951270801910685,-7.472928812443513
9120.108393559114,0.02703820753711043,9.951553362645262,-8.433190637926664
10000.00000000001,0.02890907646512491,9.94278614263464,-9.60521589165819
10964.78196143186,0.03177410269609234,9.926194773126694,-11.00139397815681
12022.64434617413,0.03426055652108905,9.913051285642556,-12.64550898624297
13182.56738556409,0.03536024996597219,9.889869097511358,-14.58915639474463
14454.39770745928,0.03685317939091131,9.867691777812624,-16.81306679640409
15848.93192461114,0.03943526791838167,9.816757938799546,-19.18326898666884
17378.00828749378,0.04129437335463461,9.800796062572243,-21.91215102028549
19054.60717963248,0.04283181768841376,9.741618212268431,-24.83036871895757
20892.96130854041,0.04482758560997828,9.701879686561654,-28.15141726304528
22908.67652767777,0.04685368940165401,9.637161379031237,-31.75691367268752
25118.86431509582,0.05075045391228169,9.555294895516194,-35.76539400874869
27542.28703338169,0.05153559795551674,9.462080715052464,-40.1487652565137
30199.51720402016,0.05376922448703811,9.347419505387631,-44.92657046327193
33113.11214825914,0.05674653782910449,9.207943190617694,-50.21642198969678
36307.80547701017,0.05809500602174621,9.040163575258003,-56.00582292595116
39810.71705534973,0.06566683558849876,8.829998377396908,-62.45559817231924
43651.58322401666,0.06469151078835741,8.579599724145361,-69.40302550572696
47863.00923226385,0.06882619460762551,8.284120002342593,-73.57455584535717
52480.74602497728,0.07328559431513942,7.828293208818647,-73.9472813640441
57543.99373371578,0.07806345320165883,7.042296798963409,-75.23623207090645
63095.73444801936,0.08128624095671783,6.33440048913808,-76.82187348010325
69183.09709189369,0.08702289053729978,6.06629492567145,-76.95889471465071
75857.75750291836,0.08935916104939649,5.656054154359894,-76.87958878446494
83176.37711026717,0.09587104806657618,5.030336812184317,-77.07290620738331
91201.08393559106,0.0950815668018743,4.24857973890269,-77.76198425666179
100000,0.09836744238532627,3.464459837558309,-78.3645582641287
109647.8196143186,0.1062748977416409,2.667553717304609,-78.92230363797781
120226.4434617414,0.1071840927302273,1.88686766014885,-79.38529407223811
131825.6738556408,0.1064189818432162,1.09773518342628,-79.80728113212959
144543.9770745929,0.1079574855880459,0.3117060839346819,-80.12524791786359
158489.3192461114,0.1077773516757104,-0.4674275805256614,-80.37244819569466
173780.0828749376,0.1006731451535861,-1.242324344228194,-80.57056862225684
190546.0717963249,0.08966239952849117,-2.015932661023901,-80.74439874102669
208929.613085404,0.08702562133489593,-2.784015271395926,-80.89418298829759
229086.7652767775,0.07466798697965679,-3.54939591272996,-81.05690210057786
251188.6431509579,0.07114843984186514,-4.314499718938666,-81.18322566350648
275422.8703338167,0.0590081589984803,-5.077334950889045,-81.28881655538754
301995.1720402019,0.05094707297751058,-5.829600350019419,-81.43423738142816
331131.1214825911,0.04463834288774359,-6.588434135668343,-81.54560138324584
363078.0547701016,0.03563703341103743,-7.332470522279284,-81.70772873624439
398107.1705534977,0.02874400414933757,-8.084674708928052,-81.85319400904768
436515.8322401661,0.01457639800079798,-8.820255360061509,-82.07156696030481
478630.0923226388,0.008833835355091444,-9.558451541341622,-82.29890562624195
524807.4602497725,0.001200242789439327,-10.296354860575,-82.65170587266914
575439.9373371572,-0.01467040522212959,-11.02372088401248,-83.00974837129428
630957.344480194,-0.01827861005395886,-11.7545504836478,-83.37024012418078
691830.9709189365,-0.03023539531615425,-12.47213061289237,-83.99574701306888
758577.5750291845,-0.04973150441471605,-13.18870136628966,-84.49767716556077
831763.7711026708,-0.05127387199000257,-13.90035374924654,-85.14453924833632
912010.8393559101,-0.06493073644326355,-14.62113023711239,-85.87429789379995
1000000.000000001,-0.09709084726415571,-15.30855161089462,-86.76430344371545
1096478.196143185,-0.08017271533014585,-16.00546450032786,-87.73852614460694
1202264.434617413,-0.1187918976638744,-16.70077010925213,-88.95078343114314
1318256.738556408,-0.1158135104266182,-17.35404725172006,-90.29696777843691
1445439.770745928,-0.1375062672637082,-18.05973245062046,-91.90377854895286
1584893.192461115,-0.1419691153566097,-18.85188165061749,-93.86949865485538
1737800.828749375,-0.1664368353584618,-19.84084543754033,-96.47993753810673
1905460.717963248,-0.2095640806608871,-21.50704970001738,-100.0010116773643
2089296.130854041,-0.2422584299634511,-23.82824328749413,-104.5066152107128
2290867.652767773,-0.3055084044502634,-26.79111205186631,-110.2064757909393
2511886.431509582,-0.3365350923250377,-31.98186169840042,-118.1294154604246
2754228.703338165,-0.3948604094045987,-36.49721852386336,-129.6906648298053
3019951.720402017,-0.4662887484304657,-44.50241070295271,-166.5848569478916
3311311.214825913,-0.5069516435174047,-46.28751022575869,102.8958243018166
3630780.547701012,-0.603556835637333,-50.51158681242083,121.3264737334362
3981071.705534974,-0.7082273499237145,-48.87436800397285,129.3655855538003
4365158.322401657,-0.8275592419056694,-47.23853863354694,130.8646525312805
4786300.923226384,-0.9833095087235287,-46.14147921097066,135.3893389247092
5248074.602497729,-1.129586578086072,-44.01199849278245,133.7839753440492
5754399.373371567,-1.336165615225291,-42.77393930894778,136.3010311751011
6309573.444801934,-1.52734270316005,-41.09199301385623,137.2771910986911
6918309.709189369,-1.794221693868802,-39.8971259395443,139.0409727626451
7585775.750291836,-2.018100809002377,-38.30236673861556,138.1543190399989
8317637.711026713,-2.310245086050402,-36.98030937939323,140.5437557384682
9120108.393559093,-2.597809973636582,-35.22036721437785,141.0802687110875
10000000,-2.896044996189719,-33.50464987020547,141.6899265045099
